               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055473,            0.020384,            0.037587,             0.13903,             0.62229,              0.2012,             0.10604,            0.068764,            0.064979,            0.036211,            0.070357,           0.0032937,           0.0032937
                   1,            0.043096,            0.016964,            0.030565,             0.42238,             0.33848,             0.19778,            0.079465,            0.045764,            0.029695,            0.029574,            0.040226,           0.0064958,           0.0064958
                   2,            0.042925,            0.017233,            0.028875,             0.34682,             0.47275,             0.32986,             0.12232,            0.047202,            0.037284,            0.029425,           0.0099627,           0.0095659,           0.0095659
                   3,            0.040267,            0.016451,            0.027881,             0.34272,             0.41587,             0.29362,            0.085006,            0.056042,            0.017156,             0.20466,            0.009406,            0.009406,            0.009406
                   4,            0.037013,            0.016032,            0.027038,             0.55043,             0.73195,             0.67482,             0.43122,            0.034994,            0.010232,            0.021301,            0.009406,            0.009406,            0.009406
                   5,            0.035968,            0.015697,            0.025889,             0.73437,             0.68032,             0.66567,              0.4146,             0.02835,           0.0076009,            0.030056,            0.009208,            0.009208,            0.009208
                   6,            0.035815,            0.015254,            0.025036,             0.64949,             0.81172,             0.78573,             0.47484,            0.028088,           0.0082844,            0.019851,             0.00901,             0.00901,             0.00901
                   7,            0.033648,            0.014894,             0.02357,             0.47058,             0.86591,             0.60707,             0.36117,            0.028334,           0.0068301,            0.024541,            0.008812,            0.008812,            0.008812
                   8,            0.033397,            0.015135,            0.023622,             0.65416,              0.7271,             0.75704,             0.46805,             0.02895,           0.0081839,             0.01855,            0.008614,            0.008614,            0.008614
                   9,             0.03201,            0.014552,            0.022471,             0.78219,             0.56255,             0.65638,             0.46608,             0.02555,           0.0067908,            0.018424,            0.008416,            0.008416,            0.008416
                  10,            0.030962,             0.01388,             0.02104,             0.74534,               0.905,             0.91396,              0.6315,            0.024046,           0.0062645,            0.012429,            0.008218,            0.008218,            0.008218
                  11,            0.030459,            0.013935,             0.02105,             0.77269,              0.7111,             0.87477,             0.51974,            0.025842,           0.0068199,            0.014093,             0.00802,             0.00802,             0.00802
                  12,            0.030751,            0.013881,            0.019585,             0.62306,              0.7698,             0.73141,                0.51,              0.0263,           0.0062229,            0.018841,            0.007822,            0.007822,            0.007822
                  13,            0.029593,            0.013614,            0.019837,             0.63682,              0.7489,             0.73464,             0.47619,            0.024294,           0.0066517,            0.017128,            0.007624,            0.007624,            0.007624
                  14,              0.0288,             0.01363,            0.019792,             0.84641,             0.82248,             0.88683,             0.64935,            0.024606,           0.0063815,            0.015991,            0.007426,            0.007426,            0.007426
                  15,            0.028595,            0.014142,            0.020273,             0.63066,             0.59338,             0.81444,             0.60276,            0.024847,            0.006373,            0.025857,            0.007228,            0.007228,            0.007228
                  16,            0.030524,            0.013789,            0.017928,             0.79122,             0.86297,              0.9162,             0.54091,             0.02487,           0.0059313,            0.012824,             0.00703,             0.00703,             0.00703
                  17,            0.028059,            0.013297,            0.018435,             0.81544,             0.81346,             0.89134,              0.6613,            0.023303,           0.0067734,            0.021668,            0.006832,            0.006832,            0.006832
                  18,            0.027916,            0.013419,             0.01865,             0.72363,             0.84989,             0.84269,             0.56738,            0.022657,           0.0060455,            0.014401,            0.006634,            0.006634,            0.006634
                  19,            0.026784,            0.013123,              0.0203,             0.85643,             0.86293,             0.91995,             0.71605,            0.021076,           0.0054499,            0.015504,            0.006436,            0.006436,            0.006436
                  20,            0.026547,            0.013105,            0.017323,             0.89196,              0.8586,             0.93639,             0.65572,            0.021241,           0.0058799,            0.011104,            0.006238,            0.006238,            0.006238
                  21,             0.02763,             0.01311,            0.017126,             0.91259,             0.92033,             0.94902,             0.70799,            0.021356,           0.0054893,           0.0078451,             0.00604,             0.00604,             0.00604
                  22,            0.027624,            0.013285,            0.017753,             0.59297,             0.81454,             0.82367,             0.56717,            0.024084,           0.0063574,            0.027376,            0.005842,            0.005842,            0.005842
                  23,            0.025833,            0.012666,            0.017143,             0.89681,             0.87596,             0.93335,             0.73193,            0.020853,           0.0053181,            0.011113,            0.005644,            0.005644,            0.005644
                  24,            0.025104,            0.012075,            0.016328,             0.92902,               0.874,             0.95884,             0.74294,             0.02026,           0.0051264,           0.0074508,            0.005446,            0.005446,            0.005446
                  25,            0.025299,            0.012688,            0.016654,             0.73229,             0.92217,             0.93302,             0.69179,            0.019235,           0.0054128,            0.012757,            0.005248,            0.005248,            0.005248
                  26,             0.02499,            0.012132,            0.016384,             0.94131,             0.88313,             0.97008,             0.78871,             0.01858,           0.0052132,            0.009522,             0.00505,             0.00505,             0.00505
                  27,            0.025346,             0.01224,            0.014473,             0.63869,             0.84326,             0.92042,             0.70644,             0.02005,           0.0058562,            0.023232,            0.004852,            0.004852,            0.004852
                  28,            0.024438,            0.011845,            0.015755,             0.92176,             0.91972,             0.95846,             0.66371,            0.020784,           0.0053289,           0.0082416,            0.004654,            0.004654,            0.004654
                  29,            0.024148,            0.011777,            0.016282,             0.91398,             0.92034,             0.96758,             0.70474,            0.019678,           0.0052703,           0.0077141,            0.004456,            0.004456,            0.004456
                  30,            0.024157,            0.012103,            0.014611,             0.94066,              0.8909,             0.96449,             0.72326,            0.019325,           0.0057663,           0.0087721,            0.004258,            0.004258,            0.004258
                  31,            0.023421,            0.011867,              0.0143,             0.93142,             0.89016,             0.95664,             0.71784,            0.018626,           0.0052208,           0.0078723,             0.00406,             0.00406,             0.00406
                  32,            0.023291,            0.011745,            0.015032,             0.80633,             0.89673,             0.95893,             0.76006,            0.017761,           0.0050118,           0.0085535,            0.003862,            0.003862,            0.003862
                  33,            0.022508,            0.011545,            0.012961,             0.91426,             0.90498,             0.96441,             0.75796,            0.018561,           0.0047458,            0.010466,            0.003664,            0.003664,            0.003664
                  34,             0.02286,            0.011349,            0.013051,             0.89853,             0.94577,             0.97356,             0.71786,            0.018838,           0.0052391,           0.0069353,            0.003466,            0.003466,            0.003466
                  35,            0.022205,            0.011271,            0.013118,             0.92741,             0.92057,             0.96508,             0.71636,             0.01778,           0.0049742,            0.007933,            0.003268,            0.003268,            0.003268
                  36,            0.022111,            0.011273,            0.011832,             0.94143,             0.93961,             0.97244,              0.7926,            0.016793,           0.0046605,           0.0072383,             0.00307,             0.00307,             0.00307
                  37,            0.021614,            0.010866,            0.013692,              0.9446,             0.93824,             0.98127,             0.82586,            0.016321,           0.0045339,           0.0066215,            0.002872,            0.002872,            0.002872
                  38,            0.021268,            0.010961,            0.012323,             0.84616,             0.91246,             0.97046,             0.80684,            0.016108,           0.0047777,            0.006259,            0.002674,            0.002674,            0.002674
                  39,            0.021322,            0.010706,            0.012166,             0.95935,             0.96391,             0.98871,             0.81992,             0.01585,           0.0043656,           0.0044639,            0.002476,            0.002476,            0.002476
                  40,            0.020682,            0.010656,           0.0098251,             0.95745,             0.96497,             0.98355,             0.79281,            0.015889,           0.0042167,           0.0043246,            0.002278,            0.002278,            0.002278
                  41,            0.019797,            0.010414,            0.010398,             0.92119,             0.95078,             0.97647,             0.77937,            0.016783,           0.0047602,           0.0063338,             0.00208,             0.00208,             0.00208
                  42,            0.019604,            0.010205,            0.010696,             0.96473,             0.96606,             0.98699,             0.81918,            0.014972,           0.0041314,           0.0044364,            0.001882,            0.001882,            0.001882
                  43,            0.019324,            0.010158,            0.010915,             0.97027,              0.9658,             0.99037,             0.83336,            0.014372,           0.0040261,           0.0038465,            0.001684,            0.001684,            0.001684
                  44,            0.018901,           0.0099904,            0.010273,             0.96657,             0.96864,             0.98859,             0.83741,            0.014767,           0.0039426,            0.003965,            0.001486,            0.001486,            0.001486
