                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                 1.0788,                 1.4259,                 1.6254,                 0.7548,                0.76824,                0.81826,                0.64819,                0.87982,                 1.2398,                 1.4257,             0.00030185,             0.00030185,             0.00030185
                     19,                 1.0869,                 1.4268,                 1.6293,                0.65409,                0.82626,                0.80609,                0.63729,                 0.9017,                 1.3319,                 1.4369,             0.00029284,             0.00029284,             0.00029284
                     20,                 1.0558,                 1.3702,                 1.6087,                0.77443,                0.78394,                0.87273,                0.71788,                0.80392,                 1.1523,                 1.3586,             0.00028383,             0.00028383,             0.00028383
                     21,                 1.0219,                 1.3384,                 1.5754,                0.81873,                0.77363,                0.88504,                0.71774,                0.79417,                 1.1203,                 1.3855,             0.00027482,             0.00027482,             0.00027482
                     22,                0.98984,                 1.2721,                 1.5344,                0.81797,                0.75338,                0.87369,                0.70499,                0.82747,                 1.1071,                 1.3655,             0.00026581,             0.00026581,             0.00026581
                     23,                 0.9797,                 1.2357,                 1.5224,                0.71051,                0.84085,                0.85874,                0.69036,                0.80797,                 1.1628,                 1.3805,              0.0002568,              0.0002568,              0.0002568
                     24,                0.98436,                  1.215,                 1.5264,                0.83368,                0.81594,                0.90411,                0.72074,                0.81741,                 1.0126,                 1.3509,             0.00024779,             0.00024779,             0.00024779
                     25,                0.95359,                 1.1811,                 1.4927,                0.83332,                0.83998,                0.93625,                0.77335,                0.72955,                0.93724,                 1.2731,             0.00023878,             0.00023878,             0.00023878
                     26,                0.99343,                  1.188,                 1.5249,                0.85241,                0.85316,                0.93078,                0.76657,                0.74213,                0.92529,                 1.2871,             0.00022978,             0.00022978,             0.00022978
                     27,                0.92613,                  1.131,                 1.4639,                0.82623,                0.89963,                0.95005,                0.80016,                0.68946,                 0.8579,                 1.2445,             0.00022077,             0.00022077,             0.00022077
                     28,                0.91969,                 1.1245,                 1.4592,                0.85547,                0.82866,                0.93213,                0.77459,                0.72086,                0.87967,                 1.2642,             0.00021176,             0.00021176,             0.00021176
                     29,                0.92121,                 1.0742,                 1.4597,                0.88857,                0.85888,                0.94892,                0.78245,                0.71112,                 0.8232,                 1.2445,             0.00020275,             0.00020275,             0.00020275
                     30,                0.89248,                 1.0737,                 1.4267,                0.88045,                0.85431,                0.95713,                0.80503,                0.67528,                0.82455,                 1.2252,             0.00019374,             0.00019374,             0.00019374
                     31,                 0.8965,                 1.0545,                 1.4346,                0.83915,                0.86466,                0.94344,                0.78789,                0.69921,                0.85583,                 1.2358,             0.00018473,             0.00018473,             0.00018473
                     32,                0.87747,                 1.0058,                 1.4148,                0.93207,                0.87286,                 0.9627,                0.81879,                0.65783,                0.73866,                 1.2015,             0.00017572,             0.00017572,             0.00017572
                     33,                 0.8499,                0.96899,                 1.3991,                0.90736,                0.89644,                0.95901,                  0.801,                0.68762,                0.75157,                 1.2195,             0.00016671,             0.00016671,             0.00016671
                     34,                0.84893,                0.96209,                 1.3912,                 0.8892,                0.88387,                0.96066,                0.81438,                0.64756,                 0.7425,                 1.1915,              0.0001577,              0.0001577,              0.0001577
                     35,                0.84657,                0.95744,                 1.3836,                0.92426,                0.91731,                0.97099,                0.82938,                 0.6384,                0.68373,                 1.1766,             0.00014869,             0.00014869,             0.00014869
                     36,                0.83013,                 0.9248,                 1.3784,                0.93159,                0.90262,                0.97449,                0.83153,                0.63438,                0.67109,                 1.1745,             0.00013969,             0.00013969,             0.00013969
                     37,                0.84312,                0.93632,                 1.3871,                0.92126,                0.92034,                0.97437,                 0.8279,                0.64065,                0.66505,                 1.1855,             0.00013068,             0.00013068,             0.00013068
                     38,                0.82374,                0.91201,                  1.378,                0.92517,                0.89955,                0.96834,                0.82129,                0.66349,                0.67221,                 1.1952,             0.00012167,             0.00012167,             0.00012167
                     39,                0.83081,                0.90087,                 1.3693,                 0.9109,                 0.8963,                0.96227,                 0.8212,                0.64181,                0.67635,                 1.1766,             0.00011266,             0.00011266,             0.00011266
                     40,                0.80854,                0.89642,                 1.3572,                0.91704,                0.94501,                0.97943,                0.84219,                0.61059,                0.61413,                 1.1562,             0.00010365,             0.00010365,             0.00010365
                     41,                0.64661,                0.71967,                 1.1981,                0.89829,                0.91021,                0.96167,                0.82676,                0.62305,                0.65917,                 1.1501,              9.464e-05,              9.464e-05,              9.464e-05
                     42,                 0.6372,                0.70363,                 1.2021,                0.92982,                0.91469,                0.97808,                0.84065,                0.61457,                0.63503,                 1.1441,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     43,                0.61088,                0.66278,                 1.1733,                0.94671,                 0.9306,                 0.9831,                 0.8473,                0.60678,                0.58361,                 1.1419,             7.6622e-05,             7.6622e-05,             7.6622e-05
