                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9514,                 5.1057,                 4.1329,                0.00182,                0.28148,                0.04157,                 0.0067,                 2.4919,                  5.242,                 4.1182,             0.00014964,             0.00014964,             0.00014964
                      2,                  2.808,                 4.1924,                  3.763,                0.00826,                0.34982,                0.01238,                0.00284,                 2.3614,                 4.9436,                 3.9222,             0.00029535,             0.00029535,             0.00029535
                      3,                 2.5265,                 3.3859,                 3.2847,                 0.5543,                0.28399,                0.19813,                 0.0631,                 2.2425,                 3.9404,                 3.1684,             0.00043504,             0.00043504,             0.00043504
                      4,                 2.2142,                 3.0365,                 2.9226,                 0.3369,                0.50476,                0.33274,                0.18287,                 1.6165,                 3.2778,                 2.5737,             0.00042797,             0.00042797,             0.00042797
                      5,                 1.9082,                 2.7486,                 2.6061,                0.42057,                0.57347,                0.41848,                0.25535,                 1.4513,                 2.8124,                 2.1565,             0.00041896,             0.00041896,             0.00041896
                      6,                 1.6841,                 2.4714,                 2.3505,                0.37402,                 0.6591,                0.41067,                0.27015,                 1.3258,                 2.7118,                 2.0487,             0.00040995,             0.00040995,             0.00040995
                      7,                 1.6042,                 2.3133,                 2.2154,                0.41178,                0.70737,                0.51378,                0.35761,                 1.2163,                 2.3998,                 1.9674,             0.00040095,             0.00040095,             0.00040095
                      8,                  1.495,                 2.1486,                 2.0887,                0.51299,                0.73303,                0.56062,                0.40518,                 1.1744,                 2.1726,                 1.8646,             0.00039194,             0.00039194,             0.00039194
                      9,                 1.4205,                 2.0261,                 2.0177,                0.49473,                0.63352,                0.51802,                0.37578,                 1.1242,                 2.2939,                 1.7752,             0.00038293,             0.00038293,             0.00038293
                     10,                  1.355,                 1.9589,                 1.9353,                0.43786,                0.77527,                0.55747,                0.40361,                 1.0817,                 1.9812,                 1.7367,             0.00037392,             0.00037392,             0.00037392
                     11,                 1.3046,                 1.8655,                 1.8813,                0.47127,                0.79905,                 0.6443,                0.46777,                 1.1349,                 1.8808,                 1.7257,             0.00036491,             0.00036491,             0.00036491
                     12,                 1.2845,                  1.804,                 1.8526,                0.57367,                0.68742,                0.69607,                0.52069,                 1.0292,                 1.7561,                 1.6523,              0.0003559,              0.0003559,              0.0003559
                     13,                 1.2282,                 1.7129,                 1.7943,                0.57242,                0.83161,                0.75191,                 0.5923,                0.94256,                  1.582,                 1.5339,             0.00034689,             0.00034689,             0.00034689
                     14,                 1.1906,                 1.6761,                 1.7643,                0.58578,                0.75999,                0.72047,                0.57126,                0.90283,                 1.5695,                 1.4812,             0.00033788,             0.00033788,             0.00033788
                     15,                 1.1421,                 1.5767,                  1.698,                0.61997,                 0.7403,                0.76392,                0.59331,                 0.9109,                 1.5093,                   1.49,             0.00032887,             0.00032887,             0.00032887
                     16,                 1.0999,                 1.5258,                  1.663,                0.68327,                0.76578,                0.79284,                0.61758,                0.92099,                 1.3842,                  1.478,             0.00031986,             0.00031986,             0.00031986
                     17,                 1.1155,                 1.4963,                 1.6613,                0.67637,                0.72229,                0.79806,                0.63433,                0.87409,                 1.3294,                 1.4751,             0.00031086,             0.00031086,             0.00031086
