               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082684,             0.02503,            0.062257,             0.52515,              0.4567,             0.32611,             0.11228,            0.046259,            0.013347,            0.041463,              0.0704,           0.0032889,           0.0032889
                   1,            0.056329,            0.020213,            0.038158,             0.39721,             0.58575,             0.49689,             0.26965,            0.048724,           0.0087582,            0.032405,            0.040334,           0.0065567,           0.0065567
                   2,            0.055169,            0.016693,            0.033505,             0.26615,             0.65225,             0.42544,             0.26218,            0.046692,           0.0073322,            0.026611,            0.010203,           0.0097584,           0.0097584
                   3,            0.049945,            0.014674,            0.028924,             0.43668,             0.76046,             0.59699,              0.3127,            0.040918,           0.0065036,            0.021646,            0.009703,            0.009703,            0.009703
                   4,             0.04269,            0.013124,            0.025384,             0.44215,             0.82175,             0.62242,             0.33581,            0.040404,           0.0062076,             0.02077,            0.009703,            0.009703,            0.009703
                   5,            0.039314,            0.012248,            0.021361,             0.63296,             0.92643,             0.81154,             0.48044,             0.03109,           0.0059716,            0.014919,            0.009604,            0.009604,            0.009604
                   6,            0.035396,            0.012043,            0.018254,             0.75155,             0.89366,              0.9436,             0.50568,            0.027513,           0.0057201,            0.012674,            0.009505,            0.009505,            0.009505
                   7,            0.033283,            0.011497,            0.016385,             0.88267,             0.88634,             0.93178,             0.63677,            0.025776,           0.0054442,            0.012152,            0.009406,            0.009406,            0.009406
                   8,            0.032089,            0.011045,            0.014177,             0.95127,             0.96464,             0.98492,             0.67097,            0.025495,           0.0050804,           0.0070566,            0.009307,            0.009307,            0.009307
                   9,            0.031454,            0.011106,            0.012296,             0.95708,             0.97342,             0.98723,              0.7086,            0.023154,           0.0048753,           0.0059189,            0.009208,            0.009208,            0.009208
                  10,            0.029657,            0.010697,            0.012995,              0.9753,             0.97388,             0.98971,             0.67991,            0.021316,            0.004645,           0.0060277,            0.009109,            0.009109,            0.009109
                  11,            0.029033,            0.010386,            0.012887,             0.97759,             0.95783,             0.98929,             0.77819,            0.018924,            0.004814,           0.0057289,             0.00901,             0.00901,             0.00901
                  12,            0.028525,            0.010726,             0.01198,             0.97188,               0.977,             0.99171,             0.76448,            0.019414,           0.0047818,           0.0055353,            0.008911,            0.008911,            0.008911
                  13,             0.02817,              0.0105,            0.011181,             0.96853,             0.97338,             0.98791,             0.76691,             0.02115,           0.0046162,            0.005243,            0.008812,            0.008812,            0.008812
                  14,            0.027248,            0.010293,            0.010957,             0.97888,              0.9699,             0.99023,               0.752,            0.018912,           0.0047664,           0.0044913,            0.008713,            0.008713,            0.008713
                  15,             0.02655,            0.010406,            0.010666,              0.9853,             0.98389,             0.99415,             0.75875,            0.020824,           0.0043572,           0.0041024,            0.008614,            0.008614,            0.008614
                  16,            0.026256,           0.0098484,            0.010737,             0.96559,             0.98397,             0.99046,             0.79206,            0.018397,            0.004325,           0.0041144,            0.008515,            0.008515,            0.008515
                  17,            0.025554,            0.010062,           0.0099082,             0.97388,             0.98335,             0.99443,             0.78509,             0.01858,           0.0043261,           0.0035455,            0.008416,            0.008416,            0.008416
                  18,            0.025529,            0.010072,           0.0096847,             0.98163,             0.98884,             0.99405,             0.77848,            0.018919,           0.0044425,           0.0035863,            0.008317,            0.008317,            0.008317
                  19,            0.024665,            0.010003,           0.0094526,             0.97898,             0.98234,             0.99226,             0.76045,            0.018475,           0.0045163,           0.0038951,            0.008218,            0.008218,            0.008218
                  20,            0.024428,           0.0096203,           0.0085153,              0.9912,             0.99012,             0.99473,             0.80798,            0.016701,           0.0042576,           0.0030496,            0.008119,            0.008119,            0.008119
                  21,            0.023975,           0.0095834,           0.0087665,             0.96394,              0.9904,             0.99296,             0.80562,               0.018,           0.0041823,            0.002772,             0.00802,             0.00802,             0.00802
                  22,            0.024034,           0.0097666,           0.0086704,             0.98492,             0.98875,             0.99269,             0.80497,            0.017352,           0.0040755,           0.0028547,            0.007921,            0.007921,            0.007921
                  23,            0.023177,           0.0095953,           0.0080507,             0.99004,             0.99405,             0.99454,             0.83284,            0.015938,           0.0039657,           0.0030144,            0.007822,            0.007822,            0.007822
                  24,            0.022951,           0.0092091,           0.0075001,             0.99363,             0.99733,             0.99488,             0.83927,            0.015057,           0.0039347,           0.0027316,            0.007723,            0.007723,            0.007723
                  25,            0.022326,           0.0092423,           0.0078401,             0.99039,             0.99116,             0.99458,             0.84547,            0.015661,           0.0038424,           0.0024911,            0.007624,            0.007624,            0.007624
                  26,            0.022374,             0.00893,           0.0075033,             0.98627,             0.98631,             0.99361,             0.80891,            0.016277,           0.0041195,           0.0030334,            0.007525,            0.007525,            0.007525
                  27,            0.022078,           0.0089598,            0.007736,             0.98232,             0.99352,             0.99391,             0.81963,            0.016158,           0.0040219,           0.0031261,            0.007426,            0.007426,            0.007426
                  28,            0.021517,           0.0091474,           0.0076062,             0.99636,             0.99564,             0.99494,             0.82172,            0.016602,           0.0039698,           0.0022407,            0.007327,            0.007327,            0.007327
                  29,            0.022312,           0.0092195,           0.0070083,             0.99207,             0.99148,             0.99415,             0.83653,            0.015401,           0.0038771,           0.0025245,            0.007228,            0.007228,            0.007228
                  30,            0.020983,           0.0088771,           0.0075581,             0.98902,             0.99156,             0.99417,             0.84774,            0.014079,           0.0036347,           0.0025652,            0.007129,            0.007129,            0.007129
                  31,            0.021464,           0.0087219,           0.0071647,             0.99347,             0.99571,             0.99487,             0.84492,            0.014375,           0.0037498,           0.0028443,             0.00703,             0.00703,             0.00703
                  32,            0.021536,           0.0089925,           0.0068188,             0.99351,             0.99719,             0.99489,             0.84159,            0.014506,           0.0037402,           0.0021525,            0.006931,            0.006931,            0.006931
                  33,            0.021056,           0.0087952,           0.0067851,             0.99639,             0.99631,             0.99499,             0.81586,             0.01624,           0.0038408,           0.0021978,            0.006832,            0.006832,            0.006832
                  34,              0.0217,           0.0089934,           0.0067979,             0.99381,             0.99868,             0.99494,             0.85878,            0.014043,           0.0037571,           0.0020374,            0.006733,            0.006733,            0.006733
                  35,            0.019813,           0.0087871,           0.0064736,             0.99156,              0.9941,             0.99266,             0.86662,            0.012719,           0.0037126,           0.0024064,            0.006634,            0.006634,            0.006634
                  36,             0.02006,           0.0088397,           0.0064931,             0.98837,             0.98537,             0.99443,             0.84868,             0.01354,           0.0038148,           0.0025246,            0.006535,            0.006535,            0.006535
                  37,            0.019648,           0.0085447,           0.0060253,             0.99541,               0.998,             0.99497,             0.85821,            0.013184,           0.0036606,            0.001854,            0.006436,            0.006436,            0.006436
                  38,            0.020176,           0.0084512,           0.0058946,             0.98735,             0.98862,              0.9947,              0.8475,             0.01407,           0.0036906,           0.0023983,            0.006337,            0.006337,            0.006337
                  39,            0.019474,            0.008637,            0.004954,             0.99553,             0.99859,             0.99492,             0.86323,            0.013528,           0.0035363,           0.0017179,            0.006238,            0.006238,            0.006238
                  40,            0.019063,           0.0083343,           0.0061641,             0.99539,             0.99866,               0.995,             0.85916,            0.013306,           0.0035667,           0.0016657,            0.006139,            0.006139,            0.006139
                  41,            0.019438,           0.0085609,           0.0050376,             0.99369,             0.99895,             0.99496,             0.86328,            0.012998,           0.0034891,           0.0018427,             0.00604,             0.00604,             0.00604
                  42,            0.019003,           0.0084321,           0.0053502,             0.99421,             0.99697,             0.99499,             0.86675,            0.012211,           0.0036145,           0.0018223,            0.005941,            0.005941,            0.005941
                  43,            0.018936,           0.0080827,           0.0056201,             0.99607,             0.99697,             0.99499,             0.87342,            0.012705,           0.0034175,           0.0019609,            0.005842,            0.005842,            0.005842
                  44,            0.018832,           0.0082952,           0.0057494,             0.99179,             0.99882,             0.99496,             0.85602,            0.012887,           0.0034237,            0.001896,            0.005743,            0.005743,            0.005743
