                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9364,                 5.0697,                  4.142,                0.00141,                0.22822,                0.06595,                0.01286,                 2.4507,                 5.2274,                 4.1212,             0.00014937,             0.00014937,             0.00014937
                      2,                 2.8119,                 4.3344,                 3.8347,                0.00411,                0.37604,                0.03147,                0.00675,                 2.3877,                 5.1471,                 3.9915,             0.00029507,             0.00029507,             0.00029507
                      3,                 2.6382,                 3.5877,                 3.4288,                0.02343,                 0.2179,                0.06383,                0.01998,                 2.0991,                 4.5968,                 3.3036,             0.00043478,             0.00043478,             0.00043478
                      4,                 2.3242,                 3.1912,                 3.1019,                0.22133,                0.31409,                0.20672,                0.09961,                 1.7939,                  3.456,                 2.8531,             0.00042797,             0.00042797,             0.00042797
                      5,                 2.1495,                 2.9468,                 2.8159,                0.40321,                0.56677,                0.37212,                0.19953,                  1.595,                 3.0979,                 2.5965,             0.00041896,             0.00041896,             0.00041896
                      6,                 1.8968,                 2.6768,                 2.5707,                0.40976,                0.50428,                0.49116,                0.28685,                  1.445,                 2.9462,                 2.4233,             0.00040995,             0.00040995,             0.00040995
                      7,                 1.7455,                 2.4863,                 2.4185,                0.58551,                0.76483,                0.56957,                0.36222,                 1.3498,                  2.694,                 2.1924,             0.00040095,             0.00040095,             0.00040095
                      8,                 1.6436,                 2.2932,                  2.277,                0.59321,                 0.7221,                0.60008,                0.38548,                 1.3219,                 2.3389,                 2.1458,             0.00039194,             0.00039194,             0.00039194
                      9,                  1.607,                 2.2281,                 2.2372,                 0.5206,                0.80275,                0.50805,                0.34756,                 1.2059,                 2.4136,                 2.0036,             0.00038293,             0.00038293,             0.00038293
                     10,                 1.4913,                 2.0666,                 2.1066,                0.45961,                0.75056,                0.57499,                0.40865,                 1.1604,                 2.2547,                 2.0053,             0.00037392,             0.00037392,             0.00037392
                     11,                 1.4106,                 1.9369,                 2.0225,                0.53312,                0.76852,                0.64257,                0.46406,                 1.0934,                 1.9945,                 1.9093,             0.00036491,             0.00036491,             0.00036491
                     12,                 1.3563,                 1.8486,                 1.9718,                0.58467,                0.75464,                0.65033,                0.46968,                 1.1203,                 1.9261,                 1.9009,              0.0003559,              0.0003559,              0.0003559
                     13,                 1.3326,                 1.8044,                 1.9204,                0.62104,                0.79102,                0.70979,                0.51058,                 1.0818,                 1.7718,                 1.8014,             0.00034689,             0.00034689,             0.00034689
                     14,                 1.3303,                 1.7623,                 1.9309,                0.56461,                0.76719,                 0.6684,                0.47623,                 1.1153,                 1.7521,                 1.8955,             0.00033788,             0.00033788,             0.00033788
                     15,                 1.2738,                 1.7107,                 1.8728,                0.69544,                0.71435,                0.74656,                0.55445,                 1.0101,                  1.683,                 1.7007,             0.00032887,             0.00032887,             0.00032887
                     16,                 1.2806,                 1.6524,                 1.8512,                0.54722,                0.83554,                0.69238,                0.52885,                0.93131,                 1.6117,                 1.6623,             0.00031986,             0.00031986,             0.00031986
                     17,                 1.2151,                 1.5836,                 1.7961,                0.64915,                0.84886,                 0.8141,                0.62578,                 0.9382,                 1.4672,                 1.6668,             0.00031086,             0.00031086,             0.00031086
                     18,                 1.1852,                 1.5427,                 1.7758,                 0.7268,                0.78368,                0.85012,                0.67279,                0.89458,                 1.4063,                 1.6565,             0.00030185,             0.00030185,             0.00030185
                     19,                 1.1489,                 1.4787,                 1.7377,                 0.7987,                0.72347,                0.83814,                0.63904,                 0.9299,                 1.3439,                 1.5998,             0.00029284,             0.00029284,             0.00029284
