               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056693,            0.020612,            0.038748,            0.078938,             0.44715,            0.088987,            0.017812,            0.078585,            0.051589,            0.036273,            0.070357,           0.0032937,           0.0032937
                   1,            0.042674,            0.017452,              0.0332,             0.41949,             0.64517,              0.4663,             0.18075,            0.039054,            0.017786,            0.029102,            0.040248,           0.0065176,           0.0065176
                   2,             0.04151,            0.017184,            0.030997,             0.11696,             0.38211,             0.12548,            0.038715,            0.046356,            0.037621,            0.036005,            0.010028,           0.0096316,           0.0096316
                   3,            0.039584,            0.016672,            0.029889,             0.32224,             0.65854,              0.4984,             0.23992,             0.03575,            0.013454,            0.023433,            0.009505,            0.009505,            0.009505
                   4,            0.036463,            0.015992,            0.028087,             0.38567,             0.77236,              0.5712,             0.22012,            0.042649,            0.014773,            0.015084,            0.009505,            0.009505,            0.009505
                   5,            0.036075,            0.015655,            0.026794,             0.40103,             0.63415,             0.56941,             0.34436,            0.035052,           0.0077378,            0.023429,             0.00934,             0.00934,             0.00934
                   6,            0.034852,            0.015123,            0.025436,             0.46648,             0.76334,             0.64556,             0.34111,            0.035275,           0.0084236,            0.014848,            0.009175,            0.009175,            0.009175
                   7,            0.034638,            0.015223,            0.025208,             0.60937,             0.66336,             0.65931,             0.39378,            0.034949,           0.0074464,            0.016147,             0.00901,             0.00901,             0.00901
                   8,            0.031454,            0.014814,            0.025215,             0.71097,             0.84201,             0.84004,             0.51541,            0.029542,           0.0063977,            0.011805,            0.008845,            0.008845,            0.008845
                   9,            0.030393,            0.014007,            0.022822,             0.80876,             0.73948,             0.77757,              0.4726,            0.031517,            0.006895,            0.006546,             0.00868,             0.00868,             0.00868
                  10,            0.030479,            0.014049,            0.021567,             0.74891,             0.70914,             0.74754,             0.44252,            0.031314,            0.007254,           0.0074964,            0.008515,            0.008515,            0.008515
                  11,            0.031279,            0.014169,            0.021857,             0.98656,             0.29268,              0.3927,             0.24824,            0.037956,           0.0093644,            0.039692,             0.00835,             0.00835,             0.00835
                  12,            0.029816,            0.013908,            0.021993,             0.82362,              0.8498,             0.88245,             0.60065,            0.025073,           0.0057199,            0.005386,            0.008185,            0.008185,            0.008185
                  13,            0.031704,            0.013865,            0.020952,             0.78682,             0.73171,             0.78033,             0.50005,            0.030516,           0.0071681,            0.010746,             0.00802,             0.00802,             0.00802
                  14,            0.030143,            0.013987,            0.020849,             0.72581,             0.72358,             0.80384,              0.5183,            0.031381,           0.0071642,            0.013662,            0.007855,            0.007855,            0.007855
                  15,            0.029374,            0.014067,            0.020512,             0.80419,              0.8425,             0.90633,             0.56945,            0.026159,           0.0059761,            0.009481,             0.00769,             0.00769,             0.00769
                  16,            0.030284,            0.013987,            0.019138,             0.80999,             0.82114,             0.87207,             0.52939,            0.029361,           0.0063023,           0.0066077,            0.007525,            0.007525,            0.007525
                  17,            0.028675,            0.013628,            0.019724,             0.90995,             0.71906,             0.86815,             0.55749,            0.027392,           0.0058763,            0.010864,             0.00736,             0.00736,             0.00736
                  18,            0.028021,            0.013138,             0.01903,              0.8376,             0.77544,             0.79485,             0.54255,            0.032228,             0.00633,           0.0054471,            0.007195,            0.007195,            0.007195
                  19,            0.027603,            0.013179,            0.020635,             0.80772,             0.75523,             0.86905,             0.59296,             0.02609,            0.006267,           0.0094566,             0.00703,             0.00703,             0.00703
                  20,            0.027403,            0.013501,            0.018784,             0.82894,             0.87607,             0.92785,             0.61041,            0.027005,           0.0059121,           0.0054615,            0.006865,            0.006865,            0.006865
                  21,            0.027139,            0.012996,            0.017368,              0.8773,             0.85568,             0.87595,             0.53639,            0.026699,           0.0067563,            0.002668,              0.0067,              0.0067,              0.0067
                  22,            0.026957,            0.013239,            0.018609,             0.84001,             0.75563,             0.85602,             0.52208,             0.02684,           0.0075591,           0.0067326,            0.006535,            0.006535,            0.006535
                  23,            0.026278,             0.01276,            0.017487,             0.72383,             0.76993,             0.82151,             0.56168,            0.026207,           0.0069505,            0.010539,             0.00637,             0.00637,             0.00637
                  24,            0.026076,            0.012167,            0.018282,             0.78266,              0.8374,             0.84348,             0.57977,            0.024951,            0.006105,           0.0079565,            0.006205,            0.006205,            0.006205
                  25,            0.027088,            0.013423,            0.018733,             0.81597,             0.80488,              0.8215,             0.52102,            0.026759,           0.0077227,           0.0043535,             0.00604,             0.00604,             0.00604
                  26,            0.026888,             0.01313,            0.017504,             0.80813,             0.81839,             0.84493,             0.57612,            0.027382,           0.0058733,           0.0042081,            0.005875,            0.005875,            0.005875
                  27,            0.025745,            0.012551,            0.016614,             0.77381,             0.77483,             0.82647,             0.57152,             0.02432,           0.0064145,           0.0065041,             0.00571,             0.00571,             0.00571
                  28,            0.025905,            0.012641,            0.016745,             0.89228,             0.89299,             0.92623,              0.6243,            0.025874,           0.0052418,           0.0039278,            0.005545,            0.005545,            0.005545
                  29,            0.026119,            0.012453,            0.017644,             0.78788,              0.8374,             0.86086,              0.6077,            0.025672,           0.0055108,           0.0039411,             0.00538,             0.00538,             0.00538
                  30,            0.026117,             0.01288,            0.016158,             0.90686,             0.79755,             0.91939,             0.62285,            0.024055,           0.0062418,            0.007877,            0.005215,            0.005215,            0.005215
                  31,            0.025054,            0.012593,            0.016416,              0.9078,             0.86727,             0.91518,             0.67422,            0.022852,           0.0059211,            0.003326,             0.00505,             0.00505,             0.00505
                  32,            0.024665,            0.012198,            0.016963,             0.84361,              0.9187,               0.964,             0.63565,            0.024819,           0.0052731,           0.0060061,            0.004885,            0.004885,            0.004885
                  33,            0.024362,            0.012276,            0.015087,             0.87634,             0.78651,             0.89575,             0.59527,            0.025317,           0.0060803,            0.011187,             0.00472,             0.00472,             0.00472
