               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085297,            0.023499,            0.063324,              0.3175,             0.70974,             0.32577,             0.12937,             0.05257,            0.011856,            0.039939,            0.070526,           0.0032749,           0.0032749
                   1,            0.059341,            0.020234,            0.036316,              0.1633,             0.67535,             0.27697,             0.14365,            0.055455,           0.0081835,            0.026743,            0.040461,           0.0065428,           0.0065428
                   2,            0.058245,            0.017054,            0.027993,             0.30188,             0.80276,             0.46505,             0.27171,            0.046074,           0.0070642,            0.018047,            0.010329,           0.0097447,           0.0097447
                   3,            0.052901,            0.015401,            0.022574,             0.49467,             0.78394,             0.63486,             0.39915,            0.036279,           0.0066969,            0.014861,            0.009703,            0.009703,            0.009703
                   4,            0.046914,            0.013465,            0.019221,             0.71064,             0.85395,             0.80236,             0.49079,            0.030191,           0.0061162,            0.010776,            0.009703,            0.009703,            0.009703
                   5,            0.042064,            0.012435,            0.015154,             0.91221,             0.93585,             0.94499,             0.55041,            0.028446,           0.0057126,           0.0072314,            0.009604,            0.009604,            0.009604
                   6,            0.039071,            0.011986,            0.012687,             0.88778,             0.87287,             0.96942,              0.6083,            0.026713,           0.0052604,           0.0072983,            0.009505,            0.009505,            0.009505
                   7,              0.0364,            0.011033,            0.012023,             0.93723,             0.91625,             0.96423,             0.69078,            0.023604,           0.0049012,           0.0059264,            0.009406,            0.009406,            0.009406
                   8,            0.035235,            0.011211,            0.010864,             0.98338,             0.96487,              0.9912,             0.76557,            0.020817,           0.0047913,            0.004828,            0.009307,            0.009307,            0.009307
                   9,            0.033849,            0.010998,            0.010756,             0.95952,             0.94045,             0.98539,             0.71843,            0.022867,           0.0047162,           0.0044966,            0.009208,            0.009208,            0.009208
                  10,            0.032367,            0.010176,           0.0098877,             0.96369,             0.95388,             0.97746,             0.67925,            0.021712,           0.0048489,           0.0061848,            0.009109,            0.009109,            0.009109
                  11,             0.03134,            0.010237,           0.0095458,             0.98984,             0.98802,             0.99378,             0.75373,            0.018486,           0.0042979,           0.0035072,             0.00901,             0.00901,             0.00901
                  12,            0.030713,            0.010447,           0.0097367,             0.98367,             0.98375,             0.99371,             0.80546,            0.018588,           0.0045428,           0.0036171,            0.008911,            0.008911,            0.008911
                  13,            0.030321,            0.010161,           0.0083531,             0.95433,             0.98064,              0.9932,             0.73997,            0.019681,           0.0045209,           0.0034309,            0.008812,            0.008812,            0.008812
                  14,             0.02893,           0.0097995,           0.0081377,             0.97998,             0.98825,             0.99413,             0.80542,             0.01856,           0.0042318,           0.0036821,            0.008713,            0.008713,            0.008713
                  15,             0.02894,           0.0099397,           0.0078701,             0.99285,             0.99046,             0.99436,             0.79538,            0.018336,           0.0044048,           0.0030181,            0.008614,            0.008614,            0.008614
                  16,            0.028211,            0.010014,           0.0082816,             0.98341,             0.96982,             0.99009,             0.81853,            0.017592,           0.0048102,           0.0033244,            0.008515,            0.008515,            0.008515
                  17,            0.027903,           0.0097164,           0.0077684,             0.99368,             0.99368,             0.99472,             0.82804,             0.01518,           0.0037941,           0.0034473,            0.008416,            0.008416,            0.008416
                  18,            0.027399,           0.0096482,           0.0073419,             0.95982,             0.98979,             0.99384,             0.75852,            0.018021,           0.0041151,           0.0031245,            0.008317,            0.008317,            0.008317
                  19,            0.026244,           0.0094279,           0.0078438,             0.99536,             0.99558,              0.9948,              0.7913,            0.017975,           0.0039321,            0.002531,            0.008218,            0.008218,            0.008218
                  20,             0.02577,           0.0096216,           0.0069704,             0.99721,             0.99404,              0.9949,             0.82481,            0.015304,           0.0038075,           0.0025446,            0.008119,            0.008119,            0.008119
                  21,              0.0258,           0.0091467,           0.0079732,             0.99486,             0.99229,             0.99488,             0.83711,            0.014991,             0.00389,           0.0026496,             0.00802,             0.00802,             0.00802
                  22,            0.025314,           0.0091962,           0.0073377,             0.99514,             0.99707,             0.99492,             0.82372,             0.01535,           0.0038293,           0.0023026,            0.007921,            0.007921,            0.007921
