               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057311,            0.021098,            0.037084,             0.17207,             0.59551,             0.15115,            0.070129,            0.058966,             0.07061,            0.052538,              0.0704,           0.0032889,           0.0032889
                   1,            0.044695,            0.017198,            0.029976,             0.50214,             0.17076,             0.11095,            0.029959,            0.057075,            0.042419,             0.03184,            0.040334,           0.0065567,           0.0065567
                   2,            0.042437,            0.017625,            0.028789,              0.1415,            0.076011,            0.068672,            0.016983,            0.070338,             0.10196,            0.035402,            0.010203,           0.0097584,           0.0097584
                   3,            0.042228,            0.016566,            0.027653,             0.19583,             0.41446,             0.19897,            0.093671,            0.048289,            0.035474,            0.038052,            0.009703,            0.009703,            0.009703
                   4,            0.038085,            0.015687,            0.026854,              0.3798,             0.66072,             0.44093,             0.24304,            0.037868,            0.015536,            0.042583,            0.009703,            0.009703,            0.009703
                   5,            0.035946,            0.015446,            0.025396,              0.3818,             0.76353,             0.59581,              0.3554,            0.033112,            0.010138,            0.029242,            0.009604,            0.009604,            0.009604
                   6,            0.036763,            0.015324,            0.025717,             0.48349,             0.83995,             0.61652,             0.32681,             0.03153,           0.0078957,            0.023072,            0.009505,            0.009505,            0.009505
                   7,            0.034474,            0.014826,            0.024774,             0.54536,             0.69684,              0.6255,             0.37601,            0.038834,           0.0093318,            0.021558,            0.009406,            0.009406,            0.009406
                   8,            0.033497,            0.014572,            0.023282,             0.47793,             0.72801,             0.58147,             0.29212,            0.030877,           0.0080753,            0.032138,            0.009307,            0.009307,            0.009307
                   9,            0.032082,            0.014563,            0.021862,             0.74711,             0.80457,             0.85011,               0.541,            0.027476,           0.0074465,            0.014312,            0.009208,            0.009208,            0.009208
                  10,            0.031541,            0.013835,            0.020976,             0.79324,             0.83415,             0.87698,             0.55847,            0.026387,           0.0064624,            0.014783,            0.009109,            0.009109,            0.009109
                  11,             0.03204,            0.013858,            0.022585,             0.83367,              0.7923,              0.8542,             0.58925,            0.026558,           0.0065996,            0.014008,             0.00901,             0.00901,             0.00901
                  12,            0.031299,            0.014206,            0.021333,             0.78074,             0.79015,               0.852,             0.57597,            0.022608,           0.0070335,             0.01414,            0.008911,            0.008911,            0.008911
                  13,            0.030525,            0.013806,            0.021005,             0.65443,             0.55153,             0.56834,              0.3598,            0.051009,            0.013137,             0.19176,            0.008812,            0.008812,            0.008812
                  14,            0.031356,            0.013741,             0.01993,             0.80243,             0.81486,             0.84364,             0.45341,             0.02816,           0.0064141,            0.012875,            0.008713,            0.008713,            0.008713
                  15,            0.030325,            0.013906,            0.019075,              0.7583,             0.78232,             0.82864,             0.59928,            0.024365,           0.0065396,            0.015907,            0.008614,            0.008614,            0.008614
                  16,            0.029271,            0.013381,             0.01934,             0.69056,             0.79126,             0.84208,             0.58663,            0.024132,           0.0068057,            0.019748,            0.008515,            0.008515,            0.008515
                  17,            0.029397,            0.013459,            0.019001,             0.84118,             0.79997,             0.86901,             0.55207,            0.025155,           0.0067983,            0.013901,            0.008416,            0.008416,            0.008416
                  18,            0.029206,            0.013652,            0.018782,             0.56012,             0.71932,             0.65857,             0.36716,            0.028974,           0.0076262,            0.032464,            0.008317,            0.008317,            0.008317
                  19,            0.029556,             0.01369,            0.018675,             0.80224,             0.87759,              0.8989,             0.64261,            0.022648,            0.005925,            0.011865,            0.008218,            0.008218,            0.008218
                  20,            0.028357,            0.013134,            0.017617,             0.80415,             0.85682,             0.93737,             0.63923,            0.023014,             0.00632,            0.014125,            0.008119,            0.008119,            0.008119
                  21,            0.028288,            0.013374,            0.019381,             0.62884,             0.77632,             0.78563,             0.49915,            0.027176,           0.0077636,            0.021087,             0.00802,             0.00802,             0.00802
                  22,            0.028853,            0.013456,            0.018288,             0.78675,              0.8201,              0.8923,             0.63429,            0.023873,           0.0061597,            0.013276,            0.007921,            0.007921,            0.007921
                  23,            0.026602,            0.013202,            0.018132,             0.74061,             0.76977,             0.80335,             0.54222,            0.022532,           0.0059757,            0.016704,            0.007822,            0.007822,            0.007822
