               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021107,            0.008067,           0.0063326,             0.99969,                   1,               0.995,             0.85159,           0.0093737,           0.0032637,           0.0016228,           0.0086536,           0.0086536,           0.0086536
                  36,            0.022477,            0.008304,           0.0062752,             0.99963,             0.99899,               0.995,             0.86162,           0.0093415,           0.0034792,           0.0015817,            0.008614,            0.008614,            0.008614
                  37,            0.021136,           0.0082368,           0.0063956,              0.9968,             0.99678,             0.99498,              0.8701,           0.0075687,           0.0034828,            0.001675,           0.0085744,           0.0085744,           0.0085744
                  38,            0.021397,           0.0083477,           0.0060768,             0.99848,             0.99889,              0.9942,             0.86644,           0.0084672,           0.0032399,            0.001531,           0.0085348,           0.0085348,           0.0085348
                  39,            0.020643,           0.0080551,           0.0060308,             0.99881,                   1,               0.995,             0.86794,           0.0088855,           0.0033647,           0.0014878,           0.0084952,           0.0084952,           0.0084952
                  40,            0.020544,           0.0080414,           0.0054581,             0.99952,              0.9992,               0.995,              0.8955,           0.0079535,           0.0031116,           0.0014528,           0.0084556,           0.0084556,           0.0084556
                  41,            0.020644,           0.0081277,           0.0061168,              0.9993,             0.99889,               0.995,             0.87937,           0.0070179,           0.0033426,            0.001381,            0.008416,            0.008416,            0.008416
                  42,            0.020213,           0.0077279,           0.0063126,             0.99942,                   1,               0.995,             0.88105,           0.0090556,           0.0033816,           0.0013522,           0.0083764,           0.0083764,           0.0083764
                  43,            0.019931,           0.0080056,           0.0059201,             0.99971,                   1,               0.995,              0.8732,           0.0083904,            0.003216,           0.0013819,           0.0083368,           0.0083368,           0.0083368
                  44,            0.019519,           0.0076893,           0.0058183,             0.99901,                   1,               0.995,             0.88484,           0.0084474,           0.0032074,           0.0013006,           0.0082972,           0.0082972,           0.0082972
                  45,            0.020597,           0.0078225,             0.00544,              0.9992,                   1,               0.995,             0.88519,           0.0066536,           0.0031947,           0.0012404,           0.0082576,           0.0082576,           0.0082576
                  46,            0.019272,           0.0076856,           0.0051761,             0.99966,                   1,               0.995,             0.88102,           0.0080577,           0.0030904,           0.0012828,            0.008218,            0.008218,            0.008218
                  47,            0.019244,           0.0077834,           0.0060466,             0.99492,             0.99107,             0.99405,             0.88008,           0.0070618,           0.0030794,           0.0018221,           0.0081784,           0.0081784,           0.0081784
                  48,            0.019049,            0.008066,           0.0049766,             0.99908,              0.9998,               0.995,             0.88877,           0.0075365,           0.0030698,           0.0011892,           0.0081388,           0.0081388,           0.0081388
                  49,            0.019364,           0.0076683,           0.0055943,             0.99949,                   1,               0.995,              0.8924,           0.0067036,           0.0030114,           0.0012488,           0.0080992,           0.0080992,           0.0080992
                  50,            0.019457,           0.0079977,           0.0059612,             0.99829,             0.99897,             0.99498,             0.89274,           0.0074385,           0.0029249,           0.0012825,           0.0080596,           0.0080596,           0.0080596
                  51,            0.019435,           0.0076413,           0.0051403,             0.99867,             0.99889,             0.99499,             0.87496,           0.0085901,           0.0028525,           0.0012491,             0.00802,             0.00802,             0.00802
                  52,            0.018678,           0.0079388,           0.0043655,             0.99936,              0.9989,               0.995,             0.90459,           0.0062795,           0.0028564,           0.0012494,           0.0079804,           0.0079804,           0.0079804
                  53,            0.018582,           0.0073969,           0.0049148,             0.99966,                   1,               0.995,              0.8983,           0.0069598,           0.0029341,           0.0011954,           0.0079408,           0.0079408,           0.0079408
                  54,             0.01789,            0.007672,           0.0052675,             0.99967,                   1,               0.995,             0.90487,           0.0069018,           0.0028691,             0.00126,           0.0079012,           0.0079012,           0.0079012
                  55,            0.018426,            0.007859,           0.0051582,             0.99962,                   1,               0.995,             0.86794,           0.0080209,           0.0034696,           0.0012235,           0.0078616,           0.0078616,           0.0078616
                  56,            0.017932,           0.0073076,           0.0052003,             0.99975,                   1,               0.995,             0.91247,           0.0065987,           0.0028844,           0.0012016,            0.007822,            0.007822,            0.007822
                  57,            0.018569,           0.0076465,           0.0047728,             0.99967,                   1,               0.995,             0.88256,           0.0073702,           0.0029607,           0.0011859,           0.0077824,           0.0077824,           0.0077824
                  58,            0.017812,           0.0077143,           0.0055995,             0.99954,                   1,               0.995,             0.89449,           0.0068097,           0.0029937,           0.0011774,           0.0077428,           0.0077428,           0.0077428
