               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055473,            0.020384,            0.037587,                   0,                   0,                   0,                   0,                   0,            0.064354,                   0,            0.070357,           0.0032937,           0.0032937
                   1,            0.043676,            0.017082,             0.03057,                   0,                   0,                   0,                   0,                   0,            0.070455,                   0,            0.040284,           0.0065541,           0.0065541
                   2,             0.04172,            0.017355,            0.028843,                   0,                   0,                   0,                   0,                   0,            0.020874,                   0,            0.010138,           0.0097412,           0.0097412
                   3,            0.039837,            0.016467,            0.028699,                   0,                   0,                   0,                   0,                   0,             0.01425,                   0,             0.00967,             0.00967,             0.00967
                   4,            0.037383,            0.016346,            0.027638,                   0,                   0,                   0,                   0,                   0,            0.012615,                   0,             0.00967,             0.00967,             0.00967
                   5,             0.03717,            0.016077,             0.02706,                   0,                   0,                   0,                   0,                   0,           0.0045365,                   0,             0.00956,             0.00956,             0.00956
                   6,            0.034673,            0.015051,            0.025859,                   0,                   0,                   0,                   0,                   0,           0.0073463,                   0,             0.00945,             0.00945,             0.00945
                   7,            0.032707,             0.01515,            0.025367,                   0,                   0,                   0,                   0,                   0,           0.0068454,                   0,             0.00934,             0.00934,             0.00934
                   8,            0.032593,            0.014868,            0.024789,                   0,                   0,                   0,                   0,                   0,            0.008279,                   0,             0.00923,             0.00923,             0.00923
                   9,            0.030774,            0.014025,            0.022282,                   0,                   0,                   0,                   0,                   0,           0.0066904,                   0,             0.00912,             0.00912,             0.00912
                  10,            0.031587,            0.013838,             0.02241,                   0,                   0,                   0,                   0,                   0,           0.0058811,                   0,             0.00901,             0.00901,             0.00901
                  11,             0.03118,            0.014104,            0.020884,                   0,                   0,                   0,                   0,                   0,           0.0062044,                   0,              0.0089,              0.0089,              0.0089
                  12,             0.03135,            0.014284,            0.021418,                   0,                   0,                   0,                   0,                   0,           0.0046504,                   0,             0.00879,             0.00879,             0.00879
                  13,            0.031958,            0.014205,            0.021269,                   0,                   0,                   0,                   0,                   0,           0.0067356,                   0,             0.00868,             0.00868,             0.00868
                  14,            0.029923,            0.014004,            0.020543,                   0,                   0,                   0,                   0,                   0,           0.0073862,                   0,             0.00857,             0.00857,             0.00857
                  15,            0.029855,            0.014196,            0.020423,                   0,                   0,                   0,                   0,                   0,           0.0057643,                   0,             0.00846,             0.00846,             0.00846
                  16,            0.030204,            0.014024,            0.019215,                   0,                   0,                   0,                   0,                   0,           0.0047741,                   0,             0.00835,             0.00835,             0.00835
                  17,            0.029512,            0.013843,             0.02022,                   0,                   0,                   0,                   0,                   0,           0.0068943,                   0,             0.00824,             0.00824,             0.00824
                  18,            0.028882,            0.013391,            0.019258,                   0,                   0,                   0,                   0,                   0,           0.0071145,                   0,             0.00813,             0.00813,             0.00813
                  19,             0.02743,            0.012888,            0.020015,                   0,                   0,                   0,                   0,                   0,           0.0076129,                   0,             0.00802,             0.00802,             0.00802
                  20,            0.027344,            0.013498,            0.017421,                   0,                   0,                   0,                   0,                   0,           0.0066272,                   0,             0.00791,             0.00791,             0.00791
                  21,            0.027885,            0.013214,            0.016684,                   0,                   0,                   0,                   0,                   0,           0.0072549,                   0,              0.0078,              0.0078,              0.0078
                  22,            0.027167,            0.013232,             0.01875,                   0,                   0,                   0,                   0,                   0,           0.0056838,                   0,             0.00769,             0.00769,             0.00769
                  23,            0.027221,            0.013255,            0.018137,                   0,                   0,                   0,                   0,                   0,           0.0059034,                   0,             0.00758,             0.00758,             0.00758
                  24,            0.027412,            0.012744,            0.018947,                   0,                   0,                   0,                   0,                   0,           0.0068748,                   0,             0.00747,             0.00747,             0.00747
                  25,            0.027435,             0.01333,            0.018696,                   0,                   0,                   0,                   0,                   0,           0.0082472,                   0,             0.00736,             0.00736,             0.00736
                  26,            0.026891,            0.012847,            0.017613,                   0,                   0,                   0,                   0,                   0,           0.0067231,                   0,             0.00725,             0.00725,             0.00725
                  27,             0.02707,            0.012811,            0.016487,                   0,                   0,                   0,                   0,                   0,           0.0060191,                   0,             0.00714,             0.00714,             0.00714
                  28,             0.02724,            0.012778,            0.017214,                   0,                   0,                   0,                   0,                   0,           0.0065704,                   0,             0.00703,             0.00703,             0.00703
                  29,              0.0261,            0.012307,            0.017346,                   0,                   0,                   0,                   0,                   0,           0.0059238,                   0,             0.00692,             0.00692,             0.00692
                  30,            0.026128,            0.012789,            0.016693,                   0,                   0,                   0,                   0,                   0,           0.0073369,                   0,             0.00681,             0.00681,             0.00681
                  31,            0.025634,            0.012693,            0.016499,                   0,                   0,                   0,                   0,                   0,           0.0079826,                   0,              0.0067,              0.0067,              0.0067
                  32,             0.02613,            0.012559,            0.017823,                   0,                   0,                   0,                   0,                   0,           0.0070001,                   0,             0.00659,             0.00659,             0.00659
                  33,            0.026029,            0.012704,            0.015693,                   0,                   0,                   0,                   0,                   0,           0.0071008,                   0,             0.00648,             0.00648,             0.00648
                  34,            0.025301,             0.01225,            0.015201,                   0,                   0,                   0,                   0,                   0,           0.0065348,                   0,             0.00637,             0.00637,             0.00637
                  35,            0.024472,            0.012306,            0.014959,                   0,                   0,                   0,                   0,                   0,            0.005794,                   0,             0.00626,             0.00626,             0.00626
                  36,            0.025428,            0.012254,            0.014226,                   0,                   0,                   0,                   0,                   0,           0.0074412,                   0,             0.00615,             0.00615,             0.00615
                  37,            0.024711,            0.012013,            0.014527,                   0,                   0,                   0,                   0,                   0,           0.0056252,                   0,             0.00604,             0.00604,             0.00604
                  38,            0.024987,            0.012272,            0.014456,                   0,                   0,                   0,                   0,                   0,           0.0068277,                   0,             0.00593,             0.00593,             0.00593
                  39,            0.024919,            0.012114,            0.014265,                   0,                   0,                   0,                   0,                   0,           0.0061111,                   0,             0.00582,             0.00582,             0.00582
                  40,            0.024678,            0.012008,            0.013797,                   0,                   0,                   0,                   0,                   0,           0.0057868,                   0,             0.00571,             0.00571,             0.00571
                  41,            0.024825,            0.011854,            0.013807,                   0,                   0,                   0,                   0,                   0,           0.0066431,                   0,              0.0056,              0.0056,              0.0056
                  42,            0.023551,            0.011614,            0.012867,                   0,                   0,                   0,                   0,                   0,           0.0072662,                   0,             0.00549,             0.00549,             0.00549
                  43,            0.023682,             0.01174,             0.01351,                   0,                   0,                   0,                   0,                   0,           0.0073249,                   0,             0.00538,             0.00538,             0.00538
                  44,            0.023401,            0.011805,            0.015086,                   0,                   0,                   0,                   0,                   0,           0.0069672,                   0,             0.00527,             0.00527,             0.00527
                  45,            0.024168,            0.011684,            0.013847,                   0,                   0,                   0,                   0,                   0,           0.0068976,                   0,             0.00516,             0.00516,             0.00516
                  46,            0.023728,            0.012219,            0.014834,                   0,                   0,                   0,                   0,                   0,           0.0069238,                   0,             0.00505,             0.00505,             0.00505
                  47,            0.022938,            0.011774,            0.013552,                   0,                   0,                   0,                   0,                   0,           0.0074028,                   0,             0.00494,             0.00494,             0.00494
                  48,            0.023045,            0.011675,            0.012974,                   0,                   0,                   0,                   0,                   0,           0.0069788,                   0,             0.00483,             0.00483,             0.00483
                  49,             0.02322,            0.011723,             0.01314,                   0,                   0,                   0,                   0,                   0,           0.0072195,                   0,             0.00472,             0.00472,             0.00472
